make,model,variant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Maruti Suzuki,A-Star,Revo Edition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,A-Star,Vxi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,A-Star,Vxi (ABS) AT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,A-Star,Zxi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,LX BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,LX CNG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,LXi BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,LXi CNG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,Std BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,Std CNG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto,XCITE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto K10,LXI Knight-Racer Special Edition,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Alto K10,LXi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Maruti Suzuki,Alto K10,VXi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Maruti Suzuki,Eeco,5 STR,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Maruti Suzuki,Eeco,5 STR WITH A/C+HTR CNG,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Maruti Suzuki,Eeco,7 STR,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Maruti Suzuki,Eeco,Tour V 5 STR AC,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,LXI NLIVE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,LX BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,LXi BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,LXi CNG BS-III,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,LXi CNG BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,VXi ABS BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Estilo,VXi BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Grand Vitara,2.4 AT,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Grand Vitara,2.4 MT,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Gypsy,King HT BS IV,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Gypsy,King ST BS IV,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Gypsy,King ST BS-IV,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Kizashi,CVT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Omni,5 Seater CNG,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,5 STR BS-IV,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,8 Seater BS IV,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,E 8 STR BS-IV,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,LPG BS-III,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,LPG BS-IV,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Omni,Cargo LPG BS III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Omni,Cargo LPG BS III WITH IMMOBILI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Omni,STD 5 SEATER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Omni,STD 8 SEATER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,GENUS VDI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,GENUS VXI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Ldi BS-IV,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Lxi BS-IV,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Vdi (ABS) BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Vdi BS-IV,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Vxi (ABS) BS-IV,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,VXI BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,VXI Dazzle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Ritz,Zxi BS-IV,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,LDi,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Swift,LDi BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,LXi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maruti Suzuki,Swift,LXi 1.2 BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,VDi,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Maruti Suzuki,Swift,VDi ABS BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,VDi BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,VDi RS,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,VXi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maruti Suzuki,Swift,VXi 1.2 ABS BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,VXi 1.2 BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
